Address,Attractions,Great_for_walker,Hotel_name,Price_max,Price_min,Price_range,Rank,Restaurant_nearby,Review,Review_number,Room_number,Travel_types,languages,number_images_Traveler,number_room_dining,number_room_suite
"6/9 Lane 7 Nguyen Cong Tru Street, Hue 47000 Vietnam",25,92,Hue Four Seasons Hotel,"₫363,636","₫295,455","₫295,455, - ,₫363,636",#3,132,Excellent,864 reviews,25,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,193,) ",16,58
"17/1 Ben Nghe Street, Hue Vietnam",25,93,The Scarlett Boutique Hotel,"₫1,454,545","₫795,455","₫795,455, - ,₫1,454,545",#7,183,Excellent,845 reviews,17,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,423,) ",18,52
"Number 6 Lane 14 Nguyen Cong Tru street, Hue 0084 Vietnam",26,95,Holiday Diamond Hotel,"₫681,818","₫386,364","₫386,364, - ,₫681,818",#8,135,Excellent,"2,428 reviews",20,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,427,) ",45,220
"105A Hung Vuong Street, Hue 47000 Vietnam",7,80,Indochine Palace,"₫2,818,182","₫1,909,091","₫1,909,091, - ,₫2,818,182",#12,29,Excellent,"2,067 reviews",222,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),Chinese (Trad.)"," (,1149,) ",20,132
"21/42 Nguyen Cong Tru street, Hue 0084 Vietnam",27,91,Hue Serene Palace Hotel,"₫659,091","₫431,818","₫431,818, - ,₫659,091",#10,142,Excellent,"3,055 reviews",Hue,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,844,) ",120,204
"5 Le Loi Vinh Ninh Ward, Hue 530000 Vietnam",4,73,Azerai La Residence Hue,"₫6,772,727","₫4,113,636","₫4,113,636, - ,₫6,772,727",#11,20,Excellent,"2,736 reviews",122,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,1612,) ",126,176
"No. 8, Lane 139 Nguyen Sinh Cung Vy Da, Hue 53000 Vietnam",1,61,La Paix Hue,"₫909,091","₫568,182","₫568,182, - ,₫909,091",#14,12,Excellent,83 reviews,10,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,67,) ",5,15
"59 Vo Thi Sau, Phu Hoi Ward, Hue 530000 Vietnam",27,93,Thanh Lich Hue Hotel,"₫1,022,727","₫545,455","₫545,455, - ,₫1,022,727",#13,145,Excellent,573 reviews,50,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,111,) ",22,29
"15 LY Thuong Kiet Street, Hue 47000 Vietnam",7,83,EMM Hotel Hue,"₫1,113,636","₫795,455","₫795,455, - ,₫1,113,636",#6,42,Excellent,"1,158 reviews",72,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,374,) ",73,88
"5 Lane 27 Nguyen Sinh Cung Street, Hue 530000 Vietnam",3,81,Charming Riverside Hotel,"₫340,909","₫295,455","₫295,455, - ,₫340,909",#9,23,Excellent,374 reviews,21,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,62,) ",7,23
"35 /12 Chu Van An Street 35/12 Chu Van An, Hue Vietnam",27,92,Hong Thien Ruby Hotel,"₫409,091","₫272,727","₫272,727, - ,₫409,091",#5,160,Excellent,634 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,161,) ",23,46
"Number 8 Lane 43 Nguyen Cong Tru Street, Hue 530000 Vietnam",25,91,Canary Boutique Hotel,"₫500,000","₫340,909","₫340,909, - ,₫500,000",#16,130,Excellent,313 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,60,) ",2,40
"2 Le Loi Street, Hue 49000 Vietnam",4,73,Silk Path Grand Hue Hotel & Spa,"₫1,681,818","₫1,545,455","₫1,545,455, - ,₫1,681,818",#63,19,Excellent,33 reviews,198,"Families,Couples,Solo,Business,Friends","All languages,Vietnamese,English,Korean,Chinese (Trad.)"," (,87,) ",10,14
"13/2 Lane 14 Nguyen Cong Tru, Hue 054 Vietnam",27,95,Hue Nino Hotel,"₫954,545","₫272,727","₫272,727, - ,₫954,545",#19,139,Excellent,"1,283 reviews",20,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,124,) ",13,46
"33 Hai Ba Trung Vinh Ninh Ward, Hue 530000 Vietnam",3,84,Thanh Lich Royal Boutique Hotel,"₫1,250,000","₫795,455","₫795,455, - ,₫1,250,000",#17,26,Excellent,981 reviews,105,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,452,) ",89,104
"Number 12 Lane 66 le Loi Street Number 12, Lane 66 le Loi Street, Hue +84 54 Vietnam",26,93,Phong Lan (Wild Orchid) Guesthouse,"₫454,545","₫272,727","₫272,727, - ,₫454,545",#6,148,Excellent,281 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,43,) ",2,16
"43 Hung Vuong, Hue 0543 Vietnam",14,93,Jade Hotel,"₫6,431,818","₫318,182","₫318,182, - ,₫6,431,818",#18,105,Excellent,"2,509 reviews",30,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,326,) ",27,193
"130 Minh Mang Road, Hue Vietnam",113,43,Pilgrimage Village,"₫4,954,545","₫1,477,273","₫1,477,273, - ,₫4,954,545",#20,463,Excellent,"2,841 reviews",173,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,2624,) ",368,677
"30 Le Loi St, Hue Vietnam",16,97,Hotel Saigon Morin,"₫2,181,818","₫1,522,727","₫1,522,727, - ,₫2,181,818",#40,99,Excellent,"1,919 reviews",183,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,1190,) ",156,389
"36 Chu Van An Street, Phu Hoi Ward 36 Chu Van An, Hue, Vietnam, Hue 53000 Vietnam",27,93,Rosaleen Boutique Hotel,"₫2,113,636","₫681,818","₫681,818, - ,₫2,113,636",#23,161,Excellent,"1,241 reviews",59,"Families,Couples,Solo,Business,Friends","All languages,English,French,Dutch"," (,431,) ",58,127
"30A Chu Van An, Hue 47000 Vietnam",27,93,ORCHID HOTEL,"₫1,000,000","₫636,364","₫636,364, - ,₫1,000,000",#15,155,Excellent,"2,680 reviews",18,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,717,) ",58,447
"17/34 Nguyen Tri Phuong Phu Hoi, Hue 530000 Vietnam",12,93,Sunny A Hotel,"₫318,182","₫250,000","₫250,000, - ,₫318,182",#21,98,Excellent,249 reviews,30,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,45,) ",3,66
"4/34 Nguyen Tri Phuong Street, Hue Vietnam",14,97,Sunny B Hotel,"₫409,091","₫318,182","₫318,182, - ,₫409,091",#25,96,Excellent,331 reviews,11,"Families,Couples,Solo,Business,Friends","All languages,English,French,Japanese"," (,77,) ",58,77
"66/3 Le Loi Hue, Hue Vietnam",26,93,Amigo Hotel,"₫386,364","₫295,455","₫295,455, - ,₫386,364",#27,150,Excellent,485 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,108,) ",6,18
"17 Nguyen Thai Hoc, Hue 530000 Vietnam",27,92,Hue Charming,"₫295,455","₫227,273","₫227,273, - ,₫295,455",#7,167,Excellent,321 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,30,) ",5,33
"53 Nguyen Cong Tru st, Hue Vietnam",26,91,Khe Sanh Homestay,"₫386,364","₫227,273","₫227,273, - ,₫386,364",#9,133,Excellent,149 reviews,26,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,8,) ",2,14
"57 Ben Nghe Street, Hue 530000 Vietnam",19,94,Cherish Hotel,"₫1,795,455","₫727,273","₫727,273, - ,₫1,795,455",#24,130,Excellent,"2,041 reviews",98,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,544,) ",56,77
"43/42 Nguyen Cong Tru Stop and Go Boutique Homestay, Hue 530000 Vietnam",27,91,Stop and Go Boutique Homestay Hue,"₫590,909","₫409,091","₫409,091, - ,₫590,909",#7,151,Excellent,92 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,33,) ",6,9
"7/64 Nguyen Cong Tru Phu Hoi, Hue 530000 Vietnam",25,91,New Valentine Hotel,"₫431,818","₫272,727","₫272,727, - ,₫431,818",#30,135,Excellent,543 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,59,) ",4,10
"26 Pham Ngu Lao Street, Hue 530000 Vietnam",26,94,Why Not Hostel,"₫477,273","₫318,182","₫318,182, - ,₫477,273",#8,171,Excellent,252 reviews,14,"Families,Couples,Solo,Business,Friends","All languages,English,German,Dutch"," (,43,) ",12,18
"38 Le Loi Street, Hue Vietnam",30,94,Muong Thanh Holiday Hue Hotel,"₫1,477,273","₫1,022,727","₫1,022,727, - ,₫1,477,273",#33,170,Very good,671 reviews,110,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,400,) ",20,94
"08 Nguyen Cong Tru street, Hue 53000 Vietnam",26,94,Home Hotel,"₫386,364","₫363,636","₫363,636, - ,₫386,364",#32,135,Excellent,226 reviews,12,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,31,) ",7,28
"28 Ba Trieu Street, Hue Vietnam",24,91,Gold Hotel Hue,"₫681,818","₫431,818","₫431,818, - ,₫681,818",#34,125,Very good,985 reviews,87,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,271,) ",27,68
"Number 6 Lane 34 Pham Hong Thai, Hue Vietnam",14,96,Hue Sweethouse Homestay,"₫795,455","₫272,727","₫272,727, - ,₫795,455",#9,73,Excellent,75 reviews,Hue,"Families,Couples,Solo,Business,Friends","All languages,English,German,Spanish"," (,28,) ",6,7
"10 Nguyen Cong Tru Street, Hue 84054 Vietnam",26,94,Than Thien Hotel - Friendly Hotel,"₫681,818","₫272,727","₫272,727, - ,₫681,818",#29,135,Excellent,"1,039 reviews",37,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,233,) ",31,32
"No. 16, Nguyen Thai Hoc Str., Hue 08454 Vietnam",29,93,Romance Hotel,"₫1,159,091","₫1,000,000","₫1,000,000, - ,₫1,159,091",#36,181,Excellent,"1,002 reviews",113,"Families,Couples,Solo,Business,Friends","All languages,English,French,Spanish"," (,411,) ",36,140
"4 Tran Quang Khai St, Hue Vietnam",28,93,Villa Hue,"₫24,409,092","₫659,091","₫659,091, - ,₫24,409,092",#35,186,Excellent,369 reviews,34,"Families,Couples,Solo,Business,Friends","All languages,English,French,Dutch"," (,193,) ",16,64
"29/42 Nguyen Cong Tru Street, Hue Vietnam",27,91,The Times Hotel,"₫363,636","₫227,273","₫227,273, - ,₫363,636",#11,146,Excellent,103 reviews,14,"Families,Couples,Solo,Business,Friends","All languages,English,French,Spanish"," (,35,) ",7,8
"35 / 6 Chu Van An, Hue 084 Vietnam",27,92,Hong Thien Hotel 1,"₫2,340,909","₫318,182","₫318,182, - ,₫2,340,909",#41,161,Excellent,820 reviews,18,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,194,) ",7,10
"91 Vo Thi Sau Phu Hoi, Hue 530000 Vietnam",26,92,Gardenia Hue Hotel,"₫750,000","₫454,545","₫454,545, - ,₫750,000",#42,139,Excellent,67 reviews,24,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),German"," (,39,) ",4,56
"08 Hung Vuong Boulevard, Hue 530000 Vietnam",22,96,Imperial Hotel,"₫2,340,909","₫1,431,818","₫1,431,818, - ,₫2,340,909",#37,121,Excellent,"1,355 reviews",195,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),Spanish"," (,839,) ",120,398
"2/10 Vo Thi Sau Street, Hue 00000 Vietnam",27,92,Sunshine Hostel 3 Hue,"₫431,818","₫250,000","₫250,000, - ,₫431,818",#12,154,Excellent,248 reviews,3,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,36,) ",2,28
"7/25, Hai Ba Trung Street, Hue 530000 Vietnam",4,86,Sunny C Hotel,"₫454,545","₫340,909","₫340,909, - ,₫454,545",#45,30,Excellent,159 reviews,10,"Families,Couples,Solo,Business,Friends","All languages,English,Japanese,French"," (,45,) ",15,45
"2 Luong Quan Street, Thuy Bieu Village, Hue Vietnam",,,Hue Ecolodge,"₫1,613,636","₫863,636","₫863,636, - ,₫1,613,636",#46,,Excellent,138 reviews,30,"Families,Couples,Solo,Business,Friends","All languages,English,French,Italian"," (,172,) ",26,46
"6a/34 Nguyen Tri Phuong St, Hue Vietnam",10,93,Ngoc Binh Hotel,"₫272,727","₫227,273","₫227,273, - ,₫272,727",#47,97,Very good,250 reviews,18,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,28,) ",3,22
"7 lane 66 Le Loi Street, Hue Vietnam",26,93,Hue Garden Villa Hotel,"₫772,727","₫363,636","₫363,636, - ,₫772,727",#12,151,Excellent,169 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,French,Dutch"," (,51,) ",5,8
"7/6 Chu Van An, Hue 530000 Vietnam",27,93,Sala Homestay Hue,"₫340,909","₫250,000","₫250,000, - ,₫340,909",#14,148,Excellent,72 reviews,6,"Families,Couples,Solo,Business,Friends","All languages,English,French,Spanish"," (,66,) ",5,7
"12 Nguyen Van Cu St, Hue Vietnam",9,89,Alba Hotel,"₫886,364","₫568,182","₫568,182, - ,₫886,364",#44,54,Excellent,121 reviews,32,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,56,) ",5,33
"17/33 Nguyen Cong Tru, Hue 530000 Vietnam",25,92,Hue Sweethouse 2 Homestay,"₫613,636","₫386,364","₫386,364, - ,₫613,636",#16,123,Excellent,46 reviews,Hue,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,24,) ",1,2
"5/28B Vo Thi Sau, Hue, Hue 530000 Vietnam",27,92,Sunhine Hostel Hue,"₫318,182","₫227,273","₫227,273, - ,₫318,182",#14,160,Excellent,121 reviews,12,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,34,) ",3,22
"28A / 42 Nguyen Cong Tru, Hue 47000 Vietnam",26,92,Grace Hotel,"₫409,091","₫250,000","₫250,000, - ,₫409,091",#15,136,Excellent,208 reviews,12,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,25,) ",2,12
"17 Pham Ngu Lao Street, Hue 84 Vietnam",27,94,Asia Hotel,"₫1,750,000","₫818,182","₫818,182, - ,₫1,750,000",#50,175,Very good,758 reviews,87,"Families,Couples,Solo,Business,Friends","All languages,English,French,Italian"," (,277,) ",26,95
"53 Ham Nghi, Hue 530000 Vietnam",22,59,Le Domaine De Cocodo,"₫1,477,273","₫954,545","₫954,545, - ,₫1,477,273",#52,63,Excellent,55 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,French,Dutch"," (,48,) ",13,24
"27 Hai Ba Trung Str 27 Hai Ba Trung, Hue 530000 Vietnam",5,86,Nice Hue Hotel,"₫454,545","₫340,909","₫340,909, - ,₫454,545",#53,30,Excellent,68 reviews,25,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,67,) ",1,34
"29 Doi Cung Str, Hue Vietnam",28,94,Midtown Hotel Hue,"₫1,090,909","₫795,455","₫795,455, - ,₫1,090,909",#49,190,Very good,519 reviews,88,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,295,) ",4,29
"9 Ngo Quyen Str, Hue 10000 Vietnam",11,93,Park View Hue Hotel,"₫1,318,182","₫727,273","₫727,273, - ,₫1,318,182",#51,53,Very good,473 reviews,119,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,258,) ",45,95
"17 Nguyen Hue Street, Hue 008454 Vietnam",4,77,Mondial Hotel Hue,"₫1,113,636","₫659,091","₫659,091, - ,₫1,113,636",#54,20,Very good,467 reviews,106,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,398,) ",27,77
"08 Nguyen Huu Tho St, Hue 84 Vietnam",4,66,Victory Hotel,"₫590,909","₫454,545","₫454,545, - ,₫590,909",#55,18,Excellent,188 reviews,22,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,German"," (,98,) ",2,74
"49 Le Loi Street, Hue 530000 Vietnam",26,94,Century Riverside Hue Hotel,"₫1,295,455","₫750,000","₫750,000, - ,₫1,295,455",#56,134,Very good,604 reviews,125,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,382,) ",60,69
"2 Luong The Vinh Street, Hue Vietnam",17,96,Thai Binh Hotel 2,"₫636,364","₫363,636","₫363,636, - ,₫636,364",#60,94,Very good,274 reviews,218,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,86,) ",5,19
"37 Nguyen Cong Tru street, Hue 530000 Vietnam",26,92,Canary Hotel,"₫500,000","₫318,182","₫318,182, - ,₫500,000",#57,139,Excellent,205 reviews,25,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,65,) ",7,38
"24 Dang Tran Con, Hue Vietnam",21,77,Tam Family Homestay,"₫409,091","₫318,182","₫318,182, - ,₫409,091",#18,60,Excellent,38 reviews,Hue,"Families,Couples,Solo,Business,Friends","All languages,English,French,Italian,Dutch"," (,33,) ",3,12
"78 Le Loi Street, Hue Vietnam",27,94,Tran Ly,"₫477,273","₫250,000","₫250,000, - ,₫477,273",#61,137,Excellent,191 reviews,184,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,17,) ",2,19
"8/27 Ha Noi Street, Hue 530000 Vietnam",5,94,Minh Thai Guesthouse,"₫454,545","₫250,000","₫250,000, - ,₫454,545",#17,86,Excellent,97 reviews,10,"Families,Couples,Solo,Business,Friends","All languages,English,French,Spanish"," (,10,) ",3,139
"149 Han Mac Tu, Hue 53000 Vietnam",29,63,Hue Orchid Riverside Villa,"₫659,091","₫386,364","₫386,364, - ,₫659,091",#58,182,Excellent,34 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,German,Spanish"," (,24,) ",1,2
"6/34, Nguyen Tri Phuong Phu Nhuan Ward, Hue Vietnam",13,97,Nhat Le Hotel,"₫363,636","₫227,273","₫227,273, - ,₫363,636",#65,96,Very good,168 reviews,40,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,16,) ",1,5
"24/26 Vo Thi Sau, Hue 530000 Vietnam",27,92,Poetic Hue Hotel,"₫386,364","₫250,000","₫250,000, - ,₫386,364",#20,148,Excellent,99 reviews,12,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,41,) ",6,12
"10 Pham Ngu Lao St, Hue Vietnam",26,93,Vietnam Backpacker Hostels - Hue,"₫363,636","₫250,000","₫250,000, - ,₫363,636",#22,162,Very good,409 reviews,7,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,52,) ",2,5
"51 Le Loi Street Phu Hoi Ward, Hue Vietnam",26,94,Huong Giang Hotel Resort & Spa,"₫1,409,091","₫931,818","₫931,818, - ,₫1,409,091",#62,132,Very good,618 reviews,165,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,390,) ",58,144
"36 Nguyen Tri Phuong St, Hue Vietnam",16,97,Binh Minh Sunrise Hotel,"₫477,273","₫318,182","₫318,182, - ,₫477,273",#66,101,Very good,147 reviews,147,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,13,) ",3,5
"10/10 Ben Nghe Str. Phu Hoi Dist., Hue 47000 Vietnam",23,94,Moon & Sun Hotel,"₫954,545","₫318,182","₫318,182, - ,₫954,545",#21,178,Excellent,76 reviews,16,"Families,Couples,Solo,Business,Friends","All languages,English,Spanish,German"," (,30,) ",13,40
"588 Bui Thi Xuan Street, Thuy Bieu Dictrict, Hue 530000 Vietnam",,,Hue Riverside Boutique Resort & Spa,"₫1,818,182","₫1,022,727","₫1,022,727, - ,₫1,818,182",#64,,Excellent,98 reviews,40,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,65,) ",11,12
"11 Nguyen Cong Tru St. Phu Hoi, Hue 530000 Vietnam",26,92,Amona Hotel,"₫386,364","₫272,727","₫272,727, - ,₫386,364",#67,137,Excellent,51 reviews,25,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Spanish"," (,27,) ",2,14
"20 Ben Nghe, Hue 530000 Vietnam",22,94,Baloo Hostel,"₫318,182","₫227,273","₫227,273, - ,₫318,182",#24,164,Excellent,30 reviews,9,"Families,Couples,Solo,Business,Friends","All languages,English,German,Spanish"," (,13,) ",1,12
"46 Tran Cao Van Street, Phu Hoi Ward, Hue Vietnam",27,94,Lucky Homestay,"₫386,364","₫250,000","₫250,000, - ,₫386,364",#25,165,Excellent,55 reviews,Hue,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,16,) ",1,1
"34 Vo Thi Sau, Hue 530000 Vietnam",27,93,Golden Star Hotel,"₫636,364","₫477,273","₫477,273, - ,₫636,364",#69,138,Excellent,51 reviews,45,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,12,) ",8,15
"07 Nguyen Tri Phuong Phu Hoi Ward, Hue 530000 Vietnam",23,94,Senna Hue Hotel,"₫2,568,182","₫1,636,364","₫1,636,364, - ,₫2,568,182",#70,149,Excellent,29 reviews,129,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,German"," (,43,) ",8,26
"21 Doi cung, Hue 84 Vietnam",29,94,DMZ Hotel,"₫386,364","₫295,455","₫295,455, - ,₫386,364",#68,186,Very good,252 reviews,39,"Families,Couples,Solo,Business,Friends","All languages,English,French,Chinese (Sim.)"," (,47,) ",5,11
