Address,Attractions,Great_for_walker,Hotel_name,Price_max,Price_min,Price_range,Rank,Restaurant_nearby,Review,Review_number,Room_number,Travel_types,languages,number_images_Traveler,number_room_dining,number_room_suite
"B10, 84 Phan Chu Trinh, Vung Tau Vietnam",22,73,The Wind Boutique Resort,"₫2,659,091","₫1,750,000","₫1,750,000, - ,₫2,659,091",#8,114,Excellent,107 reviews,19,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Trad.),Vietnamese"," (,189,) ",7,50
"98 Phan Chu Trinh, Vung Tau Vietnam",22,73,The Wind Mountain Side Hotel,"₫1,704,545","₫1,136,364","₫1,136,364, - ,₫1,704,545",#15,115,Excellent,42 reviews,15,"Families,Couples,Solo,Business,Friends","All languages,English,French,Dutch"," (,52,) ",14,20
"147C Thuy Van Thang Tam Ward, Vung Tau 790000 Vietnam",11,56,Green Hotel,"₫1,727,273","₫500,000","₫500,000, - ,₫1,727,273",#16,65,Very good,135 reviews,52,"Families,Couples,Solo,Business,Friends","All languages,English,French,Vietnamese"," (,122,) ",11,27
"Khu Pho Hai Phong 1, Long Hai Town Long Dien District, Ba Ria-Vung Tau, Vung Tau 44154 Vietnam",,,Palace Resort Long Hai Beach,"₫2,181,818","₫1,568,182","₫1,568,182, - ,₫2,181,818",#66,,Very good,15 reviews,7,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,27,) ",1,7
"28 Tran Phu Street, Ward 01, Vung Tau 790000 Vietnam",7,53,Seaside Resort,"₫2,454,545","₫931,818","₫931,818, - ,₫2,454,545",#18,20,Very good,139 reviews,71,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Chinese (Trad.)"," (,107,) ",9,9
"31-33 Thuy Van Street, Ward 02, Vung Tau Vietnam",7,55,Romeliess Hotel,"₫1,272,727","₫568,182","₫568,182, - ,₫1,272,727",#1,56,Very good,105 reviews,45,"Families,Couples,Solo,Business,Friends","All languages,English,Russian,Vietnamese"," (,128,) ",14,43
"B36 Thai Van Lung Street, Ward 2 Zone A Chau, Corner Thai Van Lung - Bau Sen 6, Vung Tau 78000 Vietnam",,,Mi Lan Corner Hotel,"₫750,000","₫295,455","₫295,455, - ,₫750,000",#48,,Very good,2 reviews,Vung Tau,"Families,Couples,Solo,Business,Friends","All languages,English,Hebrew"," (,14,) ",4,7
"9 - 11 Hoang Dieu St., Ward 1, Vung Tau Vietnam",6,74,Petro Hotel,"₫1,477,273","₫1,204,545","₫1,204,545, - ,₫1,477,273",#21,27,Very good,83 reviews,84,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Chinese (Trad.)"," (,31,) ",2,7
"07-08 Ta Uyen Ward 3, Vung Tau 78000 Vietnam",22,59,Joi Hotel,Ba Ria-Vung Tau Province,OYO 147 Ambassador Vung Tau Hotel,"OYO 147 Ambassador Vung Tau Hotel,Vietnam,Ba Ria-Vung Tau Province",,105,,,51,,," (,18,) ",24,18
"10 Tr_n Phu Phường 1, Vung Tau 790000 Vietnam",10,59,Happy Forest Hotel,"₫681,818","₫590,909","₫590,909, - ,₫681,818",#26,35,Excellent,6 reviews,29,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese"," (,8,) ",3,3
